Water supply facility,Phase,Sampling point,Standpipe type,FCR (mg/L),pH,Temperature (Celcius),Conductivity (µS/cm),Turbidity (NTU),Date (mm/dd/year),Time (24hrs)
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.58,34.1,229,0.54,04/15/21,13:01
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.00,6.75,34.5,237,0.16,04/16/21,15:10
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.67,33.3,239,0.15,04/16/21,15:22
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.56,30.5,234,0.11,04/16/21,9:10
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.80,33.8,235,0.15,04/16/21,14:57
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.62,31.8,240,0.22,04/17/21,14:33
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.51,32.7,234,0.14,04/17/21,14:51
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.58,29.6,238,NA,04/17/21,11:36
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.06,6.43,29.7,239,NA,04/17/21,11:42
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.00,6.48,31.6,234,NA,04/17/21,11:39
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.72,33.8,276,0.15,04/18/21,14:17
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.69,29.0,247,0.14,04/18/21,8:35
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.73,35.5,230,0.45,04/19/21,10:53
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.68,32.8,243,0.11,04/19/21,14:40
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.00,6.88,35.4,256,0.43,04/19/21,14:52
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.67,33.6,243,0.30,04/19/21,11:30
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.52,34.8,253,0.25,04/19/21,15:12
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.58,33.2,241,0.10,04/20/21,14:02
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.72,34.9,241,0.25,04/20/21,11:28
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.07,6.57,35.9,253,0.30,04/20/21,11:43
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.49,32.4,252,0.12,04/20/21,12:05
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.65,34.1,236,0.07,04/21/21,15:16
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.63,32.3,234,0.11,04/22/21,15:01
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.31,6.59,29.5,235,0.26,04/22/21,9:21
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.07,6.56,27.7,236,0.09,04/22/21,8:50
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.59,29.1,236,0.09,04/22/21,9:40
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.31,6.57,32.9,236,0.12,04/22/21,15:24
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.06,6.56,32.5,267,0.23,04/23/21,16:04
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.08,6.62,33.8,272,0.41,04/23/21,14:13
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.17,6.62,34.2,261,0.25,04/23/21,14:30
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.00,6.47,33.3,250,0.13,04/23/21,14:48
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.27,6.50,33.7,249,0.12,04/23/21,16:29
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.32,6.65,32.6,244,0.16,04/23/21,16:15
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.05,6.55,33.2,282,0.45,04/24/21,12:22
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.22,6.77,36.3,251,0.21,04/24/21,14:29
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.06,6.50,35.4,263,0.46,04/24/21,14:19
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.06,6.59,35.4,273,0.22,04/24/21,14:44
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.21,6.77,34.1,243,0.21,04/24/21,12:34
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.09,6.35,33.7,243,0.14,04/24/21,12:48
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.13,6.53,32.7,258,0.13,04/25/21,13:34
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.11,6.54,29.4,243,0.19,04/25/21,10:29
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.20,6.51,32.4,246,0.41,04/25/21,10:43
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.18,6.63,34.7,255,0.13,04/25/21,14:01
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.16,6.52,33.6,247,0.51,04/25/21,13:46
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.13,6.51,34.6,256,0.10,04/26/21,10:20
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.12,6.48,34.0,257,0.29,04/26/21,14:29
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.15,6.64,35.1,248,0.41,04/26/21,14:38
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.44,34.3,257,0.16,04/26/21,9:55
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.09,6.66,35.2,250,0.39,04/26/21,10:06
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.20,6.35,33.6,250,0.15,04/26/21,14:48
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.07,6.44,33.3,261,0.25,04/28/21,13:07
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.49,6.68,34.2,251,0.20,04/28/21,13:25
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.09,6.47,31.9,264,0.12,04/28/21,11:23
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.37,6.71,34.0,260,0.22,04/28/21,11:39
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.12,6.44,33.0,252,0.17,05/05/21,12:26
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.14,6.26,28.3,241,0.11,05/05/21,8:20
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.00,6.52,28.7,257,0.12,05/05/21,7:47
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.07,6.46,31.8,260,0.16,05/05/21,12:12
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.08,6.54,32.5,246,0.20,05/05/21,12:35
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.10,6.48,28.4,241,0.16,05/05/21,8:01
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.21,6.49,33.8,247,0.11,05/06/21,13:15
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.13,6.53,31.2,243,0.28,05/06/21,11:18
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.08,6.46,33.0,248,0.22,05/06/21,13:05
WSF2 (Water Mission erosion chlorinator),Baseline,SP1,Far,0.05,6.53,31.7,247,0.14,05/06/21,10:55
WSF2 (Water Mission erosion chlorinator),Baseline,SP9,Near,0.11,6.44,32.8,242,0.18,05/06/21,11:07
WSF2 (Water Mission erosion chlorinator),Baseline,SP7,Far,0.08,6.60,32.5,248,0.08,05/06/21,13:32
