Water supply facility,Phase,Sampling point,Standpipe type,Distance from storage tank (m),FCR (mg/L),pH,Temperature (Celcius),Conductivity (µS/cm),Turbidity (NTU),Date (mm/dd/year),Time (24hrs)
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.13,7.26,27.9,506,0.28,11/30/2021,8:30
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.33,6.93,29.2,488,0.12,11/30/2021,8:45
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,6.96,29.9,514,0.08,11/30/2021,8:55
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.26,6.99,29.8,504,0.09,11/30/2021,9:05
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.20,7.08,29.0,482,0.14,11/30/2021,9:16
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.11,6.92,27.3,480,0.60,11/30/2021,9:25
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.25,7.03,29.8,524,0.20,11/30/2021,16:01
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.53,6.93,30.6,484,0.12,11/30/2021,16:16
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.14,6.96,31.5,507,0.17,11/30/2021,16:26
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.43,6.89,31.1,490,0.10,11/30/2021,16:36
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.50,6.91,29.3,479,0.10,11/30/2021,16:55
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.11,7.17,27.6,510,0.07,12/1/2021,8:30
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.95,7.04,28.8,486,0.18,12/1/2021,8:47
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,1.06,7.02,29.6,505,0.70,12/1/2021,9:46
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.23,6.93,28.4,472,0.40,12/1/2021,9:57
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.73,7.07,29.2,503,0.64,12/1/2021,10:09
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.83,6.88,30.7,479,0.29,12/1/2021,14:28
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.11,6.88,30.5,494,0.91,12/1/2021,14:41
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.75,6.96,31.1,489,0.59,12/1/2021,14:53
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.26,7.08,33.0,456,0.12,12/1/2021,15:09
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.15,6.91,32.0,253,0.06,12/1/2021,15:28
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.64,7.05,27.6,512,0.07,12/2/2021,8:49
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.18,6.96,28.4,390,0.08,12/2/2021,9:08
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.52,6.88,30.4,500,0.09,12/2/2021,9:20
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.26,6.87,29.7,500,0.13,12/2/2021,9:31
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.36,6.88,29.2,473,0.78,12/2/2021,9:42
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.22,6.90,29.4,477,0.08,12/2/2021,9:54
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.23,6.93,31.1,458,0.06,12/2/2021,15:19
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.31,6.68,29.6,475,0.48,12/2/2021,15:30
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.44,6.89,30.7,472,0.49,12/2/2021,15:42
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.38,6.96,30.7,483,0.07,12/2/2021,15:55
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.17,6.89,32.1,486,0.08,12/2/2021,16:07
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.48,6.89,30.8,470,0.07,12/2/2021,16:20
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.21,7.21,29.0,523,0.18,12/3/2021,8:57
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.42,7.18,30.2,495,0.09,12/3/2021,9:12
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.45,6.99,30.5,510,0.09,12/3/2021,9:22
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.62,6.96,29.3,486,0.13,12/3/2021,9:35
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.36,6.87,29.0,471,0.85,12/3/2021,9:49
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.34,7.02,29.5,479,0.08,12/3/2021,10:01
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.22,6.89,31.1,471,0.12,12/3/2021,15:09
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.41,6.87,31.8,468,0.82,12/3/2021,15:19
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.66,6.91,30.3,469,0.13,12/3/2021,15:30
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.42,6.96,33.7,490,0.06,12/3/2021,15:42
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.41,6.95,31.6,508,0.08,12/3/2021,15:53
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.35,6.83,30.2,482,0.09,12/3/2021,16:12
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.13,6.90,27.7,507,0.06,12/6/2021,8:36
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.45,6.95,30.5,524,0.08,12/6/2021,8:50
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.40,7.09,30.3,460,0.10,12/6/2021,9:00
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.38,6.89,29.3,447,0.07,12/6/2021,9:10
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.35,6.91,29.3,444,0.06,12/6/2021,9:22
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.12,6.83,28.5,473,0.16,12/6/2021,9:32
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.85,7.05,31.5,538,0.10,12/6/2021,14:29
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.38,6.95,30.9,486,0.11,12/6/2021,14:44
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.32,6.83,32.4,452,0.09,12/6/2021,14:53
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.29,6.89,31.3,484,0.13,12/6/2021,15:03
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.25,6.90,30.8,489,0.12,12/6/2021,15:13
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.25,6.90,30.8,489,0.12,12/6/2021,15:23
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.18,6.86,30.3,461,0.13,12/6/2021,15:27
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.32,7.28,28.8,482,0.10,12/7/2021,8:35
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.35,6.91,30.2,485,0.11,12/7/2021,8:52
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.19,6.83,30.6,482,0.06,12/7/2021,9:05
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.29,6.86,30.9,478,0.08,12/7/2021,9:15
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.27,6.83,29.7,473,0.07,12/7/2021,9:24
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.43,6.90,29.2,480,0.24,12/7/2021,9:35
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.20,6.95,31.7,670,0.09,12/7/2021,14:20
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.26,6.92,33.0,482,0.08,12/7/2021,14:36
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.13,7.14,32.5,483,0.08,12/7/2021,14:46
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.26,6.84,31.5,454,0.06,12/7/2021,14:57
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.25,6.90,30.7,452,0.10,12/7/2021,15:07
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.36,6.84,31.5,482,0.18,12/7/2021,15:27
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.26,7.24,28.8,473,0.08,12/8/2021,9:44
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.18,6.96,29.2,478,0.12,12/8/2021,10:00
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.13,7.14,31.1,483,0.06,12/8/2021,10:12
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.14,6.89,30.9,484,0.10,12/8/2021,10:21
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.12,6.87,30.6,480,0.09,12/8/2021,10:29
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.16,6.89,28.9,479,0.17,12/8/2021,10:38
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.29,6.96,32.4,517,0.06,12/8/2021,14:37
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.16,7.02,32.5,495,0.10,12/8/2021,14:49
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.12,6.84,30.7,482,0.09,12/8/2021,14:58
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.10,6.90,29.3,474,0.09,12/8/2021,15:05
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.11,6.93,30.4,504,0.10,12/8/2021,15:12
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.10,6.90,30.2,488,0.27,12/8/2021,15:22
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.16,6.97,28.8,484,0.07,12/9/2021,9:07
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.53,6.96,28.6,469,0.08,12/9/2021,9:23
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.40,6.87,30.1,460,0.11,12/9/2021,9:34
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.37,6.89,29.4,468,0.07,12/9/2021,9:46
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.44,6.88,29.4,458,0.06,12/9/2021,9:55
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.27,6.79,28.1,478,0.16,12/9/2021,10:05
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.14,6.83,32.6,551,0.17,12/9/2021,14:13
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.38,6.96,34.2,500,0.09,12/9/2021,14:31
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.26,6.87,32.7,459,0.07,12/9/2021,14:41
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.36,6.92,30.5,487,0.11,12/9/2021,14:51
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.25,6.96,31.0,494,0.08,12/9/2021,15:01
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.57,6.83,31.5,475,0.09,12/9/2021,15:21
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.14,7.02,27.3,482,0.10,12/10/2021,8:52
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.28,6.98,29.4,496,0.08,12/10/2021,9:05
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.20,6.86,29.1,486,0.09,12/10/2021,9:16
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.24,6.89,29.6,485,0.13,12/10/2021,9:25
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.21,6.84,29.3,485,0.09,12/10/2021,9:36
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.13,6.85,28.7,480,0.13,12/10/2021,9:47
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.14,6.94,31.8,520,0.09,12/10/2021,14:13
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.30,6.97,31.1,498,0.11,12/10/2021,14:28
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.16,6.90,31.8,495,0.08,12/10/2021,14:39
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.30,7.00,30.9,470,0.10,12/10/2021,14:52
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.20,6.96,31.0,504,0.11,12/10/2021,15:03
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.17,6.92,31.0,488,0.10,12/10/2021,15:17
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.20,7.43,27.8,512,0.07,12/13/2021,9:38
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.20,6.95,28.7,487,0.11,12/13/2021,10:07
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.26,6.97,31.0,530,0.09,12/13/2021,10:51
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.20,6.93,31.3,494,0.09,12/13/2021,11:02
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.25,6.91,30.8,495,0.06,12/13/2021,11:12
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.22,6.89,29.9,485,0.07,12/13/2021,11:25
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.22,6.89,29.9,485,0.07,12/13/2021,11:28
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.17,6.90,32.2,482,0.08,12/13/2021,14:21
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.28,6.91,32.5,491,0.09,12/13/2021,14:37
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.19,6.89,32.3,520,0.07,12/13/2021,14:48
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.25,6.90,31.1,495,0.10,12/13/2021,14:59
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.29,6.91,NA,488,0.09,12/13/2021,15:10
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.28,6.90,30.9,498,0.13,12/13/2021,15:25
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.13,6.83,29.5,453,0.09,12/14/2021,11:07
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.23,7.05,31.0,511,0.06,12/14/2021,11:23
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.06,6.93,32.0,500,0.07,12/14/2021,11:34
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.07,6.89,30.9,502,0.06,12/14/2021,11:58
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,1.32,7.04,28.6,480,0.34,12/16/2021,9:43
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.26,7.01,29.0,463,0.22,12/16/2021,9:57
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.55,6.87,30.4,477,0.08,12/16/2021,10:08
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.22,7.12,30.5,509,0.22,12/16/2021,10:19
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.34,6.90,30.5,470,0.07,12/16/2021,10:28
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.37,7.08,29.4,473,0.24,12/16/2021,10:38
